known_developer,known_publisher,multi_player,single_player,co-op,mmo,in_app_purchases,achievements,positive_ratings,average_playtime,median_playtime,price,owners,owners
1,1,1,1,0,0,0,30,0.9,3176,1385,19.99,2000000-5000000,3500000
1,1,1,1,1,0,0,50,0.89,170,168,9.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.87,902,87,0.0,2000000-5000000,3500000
0,0,0,1,0,0,0,0,0.73,0,0,6.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.68,0,0,6.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.31,0,0,0.0,100000-200000,150000
0,0,0,1,0,0,0,0,0.78,0,0,6.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.65,0,0,6.99,50000-100000,75000
0,0,0,1,0,0,0,0,0.76,0,0,6.99,100000-200000,150000
1,1,0,1,0,0,0,0,0.58,355,374,6.99,200000-500000,350000
0,0,1,1,0,0,0,0,0.71,46,49,1.79,50000-100000,75000
0,0,1,1,1,0,0,40,0.49,15,15,3.99,200000-500000,350000
0,0,1,1,0,0,0,0,0.69,0,0,5.59,50000-100000,75000
0,0,1,1,0,0,0,0,0.58,0,0,5.59,50000-100000,75000
0,0,1,1,0,0,0,10,0.88,91,97,4.79,100000-200000,150000
0,0,0,1,0,0,0,17,0.82,41,69,3.99,100000-200000,150000
0,0,0,1,0,0,0,25,0.77,76,108,3.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.75,36,36,3.99,100000-200000,150000
1,1,0,1,0,0,0,0,0.93,304,304,3.49,1000000-2000000,1500000
0,0,1,1,1,0,0,0,0.82,0,0,3.99,100000-200000,150000
0,1,0,1,0,0,0,0,0.61,0,0,3.49,20000-50000,35000
0,1,0,1,0,0,0,0,0.37,119,176,3.49,200000-500000,350000
1,1,0,1,0,0,0,0,0.86,98,63,5.99,1000000-2000000,1500000
1,1,0,1,0,0,0,0,0.92,209,93,5.99,2000000-5000000,3500000
1,1,0,1,0,0,0,0,0.89,807,249,9.99,2000000-5000000,3500000
1,1,0,1,0,0,0,0,0.65,99,101,5.99,200000-500000,350000
1,1,0,1,0,0,0,0,0.9,316,316,5.99,500000-1000000,750000
